p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	trait	ds1	ds2
BCAA.EstBB	BCAA.UKBB_EUR	0.8332	0.0287	28.9917	8.3614e-185	0.077	0.0066	1.0596	0.0214	0.0218	0.0118	BCAA	EstBB	UKBB_EUR
BCAA.EstBB	BCAA.meta_EUR	0.918	0.0153	60.1022	0	0.066	0.0054	1.0763	0.0259	0.5892	0.0139	BCAA	EstBB	meta_EUR
BCAA.UKBB_EUR	BCAA.meta_EUR	0.971	0.0037	260.3238	0	0.0669	0.0055	1.0673	0.0211	0.8997	0.019	BCAA	UKBB_EUR	meta_EUR
Lactate.EstBB	Lactate.UKBB_EUR	0.8641	0.06	14.4122	4.3392e-47	0.0455	0.004	1.075	0.0227	0.0235	0.0134	Lactate	EstBB	UKBB_EUR
Lactate.EstBB	Lactate.meta_EUR	0.9402	0.0342	27.5195	1.027e-166	0.0371	0.0031	1.0967	0.0289	0.6169	0.0157	Lactate	EstBB	meta_EUR
Lactate.UKBB_EUR	Lactate.meta_EUR	0.966	0.0049	198.0364	0	0.0376	0.0029	1.0912	0.0249	0.9096	0.0214	Lactate	UKBB_EUR	meta_EUR
LDL_C.EstBB	LDL_C.UKBB_EUR	0.8531	0.0463	18.4302	7.5176e-76	0.0673	0.0307	1.3432	0.2628	0.2637	0.2134	LDL_C	EstBB	UKBB_EUR
LDL_C.EstBB	LDL_C.meta_EUR	0.9503	0.0155	61.3177	0	0.0777	0.0274	1.4734	0.3345	0.957	0.2552	LDL_C	EstBB	meta_EUR
LDL_C.UKBB_EUR	LDL_C.meta_EUR	0.9668	0.0071	136.6756	0	0.0813	0.0257	1.4328	0.3088	1.1701	0.2693	LDL_C	UKBB_EUR	meta_EUR
Glucose.EstBB	Glucose.UKBB_EUR	0.8971	0.0491	18.2895	1.0029e-74	0.0615	0.0086	1.0808	0.0238	0.0203	0.014	Glucose	EstBB	UKBB_EUR
Glucose.EstBB	Glucose.meta_EUR	0.9479	0.0268	35.433	5.2919e-275	0.0497	0.0065	1.0876	0.0282	0.5985	0.0154	Glucose	EstBB	meta_EUR
Glucose.UKBB_EUR	Glucose.meta_EUR	0.9749	0.0045	217.4887	0	0.0502	0.0063	1.0839	0.0264	0.911	0.0236	Glucose	UKBB_EUR	meta_EUR
