trait	locus	symbol	ensg	quant	qtl	dataset	mtid	eqtl_n	status	nsnp	nshared	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf	colocalises
LDL_C	ABCA1	ABCA1	ENSG00000165029	leafcutter	skin	QTD000320	9:104858698:104861679:clu_24086_-	602	ok	1855	1855	1.69489537658691e-25	0.013131995138738	1.27333080205615e-23	0.986572038661429	0.000295966199835512	FALSE
LDL_C	ABCG5_8	ABCG5	ENSG00000138075	ge	spleen	QTD000326	ENSG00000138075	227	ok	1770	1770	5.55141884155173e-159	2.12811673153211e-05	7.9051027778123e-156	0.0283606951928303	0.971618023639855	TRUE
LDL_C	ABCG5_8	ABCG8	ENSG00000143921	exon	adipose	QTD000535	ENSG00000143921.9_2_43872223_43872306	381	ok	2068	2068	1.58436924163768e-165	0.768148732028463	4.37307328548697e-166	0.211979690891539	0.0198715770800054	FALSE
LDL_C	APOA5	APOA5	ENSG00000110243	aptamer	plasma	QTD000584	APOA5.11318.20.3..1	3301	ok	2352	2352	3.61078791523476e-216	8.29259414809256e-12	3.72950197627933e-207	0.00657839157119652	0.993421608420538	TRUE
LDL_C	APOB	APOB	ENSG00000084674	exon	skin	QTD000317	ENSG00000084674.15_2_21024933_21024964	602	ok	1659	1659	0	0.0357129014253648	0	0.957898209487446	0.00638888908715098	FALSE
LDL_C	APOE	APOE	ENSG00000130203	aptamer	plasma	QTD000584	APOE.5312.49.3..1	3301	ok	2086	2086	0	3.37827868425813e-06	0	0.722930549231323	0.277066072489674	FALSE
LDL_C	CETP	CETP	ENSG00000087237	ge	lung	QTD000271	ENSG00000087237	510	ok	1977	1977	6.7719316136012e-22	0.000374739394438687	2.47146863768413e-20	0.0117005536199844	0.987924706985575	TRUE
LDL_C	HMGCR	HMGCR	ENSG00000113161	exon	skin	QTD000317	ENSG00000113161.17_5_75355215_75355364	602	ok	1667	1667	2.80253017040436e-263	2.19213598482846e-18	2.69405393897779e-248	0.000107500999154725	0.999892499000852	TRUE
LDL_C	LDLR	LDLR	ENSG00000130164	ge	CD4+ T cell	QTD000031	ENSG00000130164	167	ok	1351	1351	0	0.852418344764801	0	0.11491354589522	0.032668109339988	FALSE
LDL_C	LPL	LPL	ENSG00000175445	leafcutter	brain (caudate)	QTD000160	8:19962219:19965310:clu_11475_+	194	ok	1994	1994	9.65901373726411e-07	0.000206334199252689	0.00398347806494051	0.850653458850075	0.145155762984359	FALSE
LDL_C	NPC1L1	NPC1L1	ENSG00000015520	exon	adipose	QTD000117	ENSG00000015520.15_7_44512538_44513649	581	ok	1344	1344	2.48042226013798e-05	0.71122974431783	9.27251161441695e-06	0.265831746367675	0.0229044325802799	FALSE
LDL_C	PCSK9	PCSK9	ENSG00000169174	ge	tibial nerve	QTD000286	ENSG00000169174	532	ok	2376	2376	9.8522353157151e-133	2.98320347294857e-37	2.0672218543182e-97	0.0607157892805192	0.939284210719504	TRUE
