gene	ensg	dataset	study_id	study	tissue	quant	n	n_cs	max_pip	n_mtid	best_mtid
ABCA1	ENSG00000165029	QTD000357	QTS000015	GTEx	blood	exon	670	20	0.7758	1	ENSG00000165029.17_9_104861438_104861678
ABCA1	ENSG00000165029	QTD000607	QTS000038	OneK1K	memory B cell	ge	981	18	0.0999	1	ENSG00000165029
ABCA1	ENSG00000165029	QTD000320	QTS000015	GTEx	skin	leafcutter	602	20	0.682	1	9:104858698:104861679:clu_24086_-
ABCA1	ENSG00000165029	QTD000080	QTS000009	Fairfax_2012	B cell	microarray	281	14	0.095	1	ILMN_1766054
ABCA1	ENSG00000165029	QTD000118	QTS000015	GTEx	adipose	tx	581	11	0.9966	2	ENST00000374733
ABCA1	ENSG00000165029	QTD000319	QTS000015	GTEx	skin	txrev	602	1	0.9504	1	ENSG00000165029.grp_2.downstream.ENST00000374733
ABCG5	ENSG00000138075	QTD000326	QTS000015	GTEx	spleen	ge	227	17	0.2445	1	ENSG00000138075
ABCG8	ENSG00000143921	QTD000535	QTS000029	TwinsUK	adipose	exon	381	12	0.4968	2	ENSG00000143921.9_2_43872223_43872306
ABCG8	ENSG00000143921	QTD000534	QTS000029	TwinsUK	adipose	ge	381	11	0.2774	1	ENSG00000143921
APOA5	ENSG00000110243	QTD000584	QTS000035	Sun_2018	plasma	aptamer	3301	1	0.9847	1	APOA5.11318.20.3..1
APOB	ENSG00000084674	QTD000317	QTS000015	GTEx	skin	exon	602	2	0.7418	1	ENSG00000084674.15_2_21024933_21024964
APOB	ENSG00000084674	QTD000316	QTS000015	GTEx	skin	ge	602	4	0.5116	1	ENSG00000084674
APOB	ENSG00000084674	QTD000319	QTS000015	GTEx	skin	txrev	602	4	0.3281	1	ENSG00000084674.grp_1.downstream.ENST00000233242
APOE	ENSG00000130203	QTD000584	QTS000035	Sun_2018	plasma	aptamer	3301	25	0.535	2	APOE.5312.49.3..1
APOE	ENSG00000130203	QTD000316	QTS000015	GTEx	skin	ge	602	3	0.7627	1	ENSG00000130203
APOE	ENSG00000130203	QTD000438	QTS000025	ROSMAP	brain (DLPFC)	leafcutter	560	1	0.996	1	19:44905923:44906602:clu_15079_-
APOE	ENSG00000130203	QTD000082	QTS000010	Fairfax_2014	monocyte	microarray	370	68	0.3733	1	ILMN_1740938
APOE	ENSG00000130203	QTD000436	QTS000025	ROSMAP	brain (DLPFC)	tx	560	7	0.6987	1	ENST00000434152
APOE	ENSG00000130203	QTD000344	QTS000015	GTEx	thyroid	txrev	574	1	0.9894	1	ENSG00000130203.grp_2.upstream.ENST00000434152
