gene	ensg	dataset	study_id	study	tissue	quant	n	n_cs	max_pip	n_mtid	best_mtid
ABCA1	ENSG00000165029	QTD000357	QTS000015	GTEx	blood	exon	670	20	0.7758	1	ENSG00000165029.17_9_104861438_104861678
ABCA1	ENSG00000165029	QTD000317	QTS000015	GTEx	skin	exon	602	3	0.9259	1	ENSG00000165029.17_9_104903614_104903771
ABCA1	ENSG00000165029	QTD000117	QTS000015	GTEx	adipose	exon	581	1	1.0	1	ENSG00000165029.17_9_104861438_104861678
ABCA1	ENSG00000165029	QTD000287	QTS000015	GTEx	tibial nerve	exon	532	2	0.8649	1	ENSG00000165029.17_9_104861438_104861678
ABCA1	ENSG00000165029	QTD000122	QTS000015	GTEx	adipose (visceral)	exon	469	1	0.9518	1	ENSG00000165029.17_9_104861438_104861678
ABCA1	ENSG00000165029	QTD000247	QTS000015	GTEx	esophagus (muscularis)	exon	461	11	0.9031	1	ENSG00000165029.17_9_104861438_104861678
ABCA1	ENSG00000165029	QTD000540	QTS000029	TwinsUK	LCL	exon	418	30	0.2917	2	ENSG00000165029.17_9_104796309_104796424
ABCA1	ENSG00000165029	QTD000212	QTS000015	GTEx	breast	exon	394	4	0.8039	1	ENSG00000165029.17_9_104861438_104861678
ABCA1	ENSG00000165029	QTD000535	QTS000029	TwinsUK	adipose	exon	381	22	0.3983	1	ENSG00000165029.17_9_104861438_104861678
ABCA1	ENSG00000165029	QTD000237	QTS000015	GTEx	esophagus (gej)	exon	330	1	0.9906	1	ENSG00000165029.17_9_104861438_104861678
ABCA1	ENSG00000165029	QTD000227	QTS000015	GTEx	sigmoid colon	exon	318	1	0.9944	1	ENSG00000165029.17_9_104861438_104861678
ABCA1	ENSG00000165029	QTD000091	QTS000011	FUSION	adipose	exon	271	217	0.3712	2	ENSG00000165029.17_9_104884427_104884568
ABCA1	ENSG00000165029	QTD000127	QTS000015	GTEx	adrenal gland	exon	233	36	0.9971	2	ENSG00000165029.17_9_104861438_104861678
ABCA1	ENSG00000165029	QTD000267	QTS000015	GTEx	liver	exon	208	1	0.9939	1	ENSG00000165029.17_9_104861438_104861678
