trait	gene	chr	lead_snp	lead_pos	n_variants	n_used	converged	niter	n_cs95	n_cs99	n_cs95_pass	max_pip	elbo	kriging_s	elapsed_s
LDL_C	PCSK9	1	rs11591147	55039974	4896	599249	TRUE	10	10	9	6	1	-848082.097507077	0.621255677399771	4.12
LDL_C	APOB	2	rs548145	21068440	4093	599249	FALSE	100	4	4	4	1	-712743.846066198	0.586271146130217	23.42
LDL_C	ABCG5_8	2	rs4299376	43845437	4285	599249	FALSE	100	10	9	8	1	-844745.289221356	0.510544652126671	26.7
LDL_C	HMGCR	5	rs12916	75360714	3727	599249	FALSE	100	8	8	7	1	-832047.767122105	0.450126830988281	20.07
LDL_C	NPC1L1	7	rs17725246	44542387	3668	599249	FALSE	100	8	8	3	1	-848301.208732749	0.444120653294266	19.85
LDL_C	LPL	8	rs34499461	20012516	4914	185352	TRUE	5	0	0	0	0.195991141937495	-262991.597623999	0.324996273059051	2.45
LDL_C	ABCA1	9	rs2740488	104899461	4777	599249	FALSE	100	9	9	7	1	-847909.690783637	0.459141591314044	31.83
LDL_C	APOA5	11	rs66505542	116752497	4827	599249	FALSE	100	9	9	8	1	-841813.907850387	0.554457135276115	33.39
LDL_C	CETP	16	rs183130	56957451	4533	599249	TRUE	6	1	1	1	0.240186379107219	-850251.172183685	0.364717844446194	2.38
LDL_C	LDLR	19	rs12151108	11086585	4075	599249	FALSE	100	4	4	4	1	-556099.139712707	0.596168021712234	24.95
LDL_C	APOE	19	rs1065853	44909976	4482	599249	FALSE	100	10	10	8	1	-707513.91989991	0.633015594875404	29.91
