p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	dataset	tr1	tr2
BCAA.EstBB	Lactate.EstBB	0.2635	0.0636	4.1455	3.391e-05	0.0264	0.0038	1.0774	0.0109	0.1634	0.006	EstBB	BCAA	Lactate
BCAA.EstBB	LDL_C.EstBB	0.1957	0.0688	2.8445	0.0044481	0.0942	0.0511	1.3358	0.2096	0.1109	0.0092	EstBB	BCAA	LDL_C
BCAA.EstBB	Glucose.EstBB	0.2236	0.0592	3.7755	0.00015968	0.0339	0.0054	1.0438	0.0099	0.0665	0.006	EstBB	BCAA	Glucose
Lactate.EstBB	LDL_C.EstBB	0.1195	0.071	1.6831	0.0924	0.0942	0.0511	1.3358	0.2096	0.0993	0.0082	EstBB	Lactate	LDL_C
Lactate.EstBB	Glucose.EstBB	-0.2087	0.0829	-2.5169	0.0118	0.0339	0.0054	1.0438	0.0099	-0.507	0.0088	EstBB	Lactate	Glucose
LDL_C.EstBB	Glucose.EstBB	0.1958	0.0828	2.3637	0.0181	0.0339	0.0054	1.0438	0.0099	0.0278	0.0084	EstBB	LDL_C	Glucose
BCAA.UKBB_EUR	Lactate.UKBB_EUR	0.1893	0.0363	5.2105	1.8832e-07	0.046	0.0037	1.0699	0.0192	0.1141	0.008	UKBB_EUR	BCAA	Lactate
BCAA.UKBB_EUR	LDL_C.UKBB_EUR	0.0488	0.0514	0.9507	0.34177	0.0704	0.029	1.3172	0.2439	0.101	0.0205	UKBB_EUR	BCAA	LDL_C
BCAA.UKBB_EUR	Glucose.UKBB_EUR	0.2313	0.0297	7.7755	7.5142e-15	0.0624	0.0082	1.0744	0.0217	0.2494	0.0073	UKBB_EUR	BCAA	Glucose
Lactate.UKBB_EUR	LDL_C.UKBB_EUR	0.0536	0.0551	0.9732	0.33044	0.0704	0.029	1.3172	0.2439	0.0854	0.0166	UKBB_EUR	Lactate	LDL_C
Lactate.UKBB_EUR	Glucose.UKBB_EUR	-0.1942	0.0393	-4.9382	7.8843e-07	0.0624	0.0082	1.0744	0.0217	-0.3485	0.0153	UKBB_EUR	Lactate	Glucose
LDL_C.UKBB_EUR	Glucose.UKBB_EUR	0.0782	0.0418	1.872	0.0612	0.0624	0.0082	1.0744	0.0217	0.0399	0.0073	UKBB_EUR	LDL_C	Glucose
BCAA.meta_EUR	Lactate.meta_EUR	0.1949	0.0344	5.6723	1.4093e-08	0.0378	0.0029	1.089	0.0242	0.132	0.0086	meta_EUR	BCAA	Lactate
BCAA.meta_EUR	LDL_C.meta_EUR	0.1125	0.0464	2.4224	0.015416	0.0819	0.025	1.4249	0.3021	0.0972	0.0205	meta_EUR	BCAA	LDL_C
BCAA.meta_EUR	Glucose.meta_EUR	0.2283	0.0284	8.0244	1.0205e-15	0.0503	0.0063	1.0814	0.0254	0.2011	0.0078	meta_EUR	BCAA	Glucose
Lactate.meta_EUR	LDL_C.meta_EUR	0.0567	0.0429	1.3209	0.18653	0.0819	0.025	1.4249	0.3021	0.0885	0.0142	meta_EUR	Lactate	LDL_C
Lactate.meta_EUR	Glucose.meta_EUR	-0.2066	0.0412	-5.0116	5.3988e-07	0.0503	0.0063	1.0814	0.0254	-0.4087	0.0197	meta_EUR	Lactate	Glucose
LDL_C.meta_EUR	Glucose.meta_EUR	0.1195	0.0416	2.876	0.004	0.0503	0.0063	1.0814	0.0254	0.0298	0.0093	meta_EUR	LDL_C	Glucose
