trait	locus	symbol	ensg	quant	qtl	dataset	mtid	eqtl_n	status	nsnp	nshared	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf
LDL_C	ABCA1	ABCA1	ENSG00000165029	exon	blood	QTD000357	ENSG00000165029.17_9_104861438_104861678	670	ok	1928	1928	1.15250926208586e-27	8.92657888344026e-05	1.29095776477105e-23	0.999890954945245	1.97792659206603e-05
LDL_C	ABCA1	ABCA1	ENSG00000165029	ge	memory B cell	QTD000607	ENSG00000165029	981	ok	2053	2053	1.51179566982988e-48	0.00541677989171295	2.77556137334137e-46	0.994486385129582	9.68349787120844e-05
LDL_C	ABCA1	ABCA1	ENSG00000165029	leafcutter	skin	QTD000320	9:104858698:104861679:clu_24086_-	602	ok	1855	1855	1.69489537658691e-25	0.013131995138738	1.27333080205615e-23	0.986572038661429	0.000295966199835512
LDL_C	ABCA1	ABCA1	ENSG00000165029	microarray	B cell	QTD000080	ILMN_1766054	281	ok	2011	2011	1.83132365435004e-64	6.56180758761938e-19	2.79088289300855e-46	1	2.24201317615719e-20
LDL_C	ABCA1	ABCA1	ENSG00000165029	tx	adipose	QTD000118	ENST00000374733	581	ok	2344	2344	5.82777918472682e-53	2.09467745601833e-07	2.78218386933213e-46	0.999999767422848	2.3109405864085e-08
LDL_C	ABCA1	ABCA1	ENSG00000165029	txrev	skin	QTD000319	ENSG00000165029.grp_2.downstream.ENST00000374733	602	ok	2275	2275	1.53360426492974e-48	0.00551222882507073	2.76655001236424e-46	0.994379956157794	0.00010781501713436
LDL_C	ABCG5_8	ABCG5	ENSG00000138075	ge	spleen	QTD000326	ENSG00000138075	227	ok	1770	1770	5.55141884155173e-159	2.12811673153211e-05	7.9051027778123e-156	0.0283606951928303	0.971618023639855
LDL_C	ABCG5_8	ABCG8	ENSG00000143921	exon	adipose	QTD000535	ENSG00000143921.9_2_43872223_43872306	381	ok	2068	2068	1.58436924163768e-165	0.768148732028463	4.37307328548697e-166	0.211979690891539	0.0198715770800054
LDL_C	ABCG5_8	ABCG8	ENSG00000143921	ge	adipose	QTD000534	ENSG00000143921	381	ok	1766	1766	9.86743623731478e-160	3.61623079766225e-06	2.72864202240204e-154	0.999996258137637	1.25631570581147e-07
LDL_C	APOA5	APOA5	ENSG00000110243	aptamer	plasma	QTD000584	APOA5.11318.20.3..1	3301	ok	2352	2352	3.61078791523476e-216	8.29259414809256e-12	3.72950197627933e-207	0.00657839157119652	0.993421608420538
LDL_C	APOB	APOB	ENSG00000084674	exon	skin	QTD000317	ENSG00000084674.15_2_21024933_21024964	602	ok	1659	1659	0	0.0357129014253648	0	0.957898209487446	0.00638888908715098
LDL_C	APOB	APOB	ENSG00000084674	ge	skin	QTD000316	ENSG00000084674	602	ok	1699	1699	0	2.19376882014641e-30	0	1	6.11962322103153e-30
LDL_C	APOB	APOB	ENSG00000084674	txrev	skin	QTD000319	ENSG00000084674.grp_1.downstream.ENST00000233242	602	ok	1699	1699	0	1.75487686837709e-12	0	0.999999999997954	2.52229784469592e-13
LDL_C	APOE	APOE	ENSG00000130203	aptamer	plasma	QTD000584	APOE.5312.49.3..1	3301	ok	2086	2086	0	3.37827868425813e-06	0	0.722930549231323	0.277066072489674
LDL_C	APOE	APOE	ENSG00000130203	ge	skin	QTD000316	ENSG00000130203	602	ok	2111	2111	0	1.96469811088724e-05	0	0.999976578989454	3.77402963476404e-06
LDL_C	APOE	APOE	ENSG00000130203	leafcutter	brain (DLPFC)	QTD000438	19:44905923:44906602:clu_15079_-	560	ok	1949	1949	0	3.78787244932542e-16	0	1	1.57529462622848e-17
LDL_C	APOE	APOE	ENSG00000130203	microarray	monocyte	QTD000082	ILMN_1740938	370	ok	2008	2008	0	0.61845324235074	0	0.356829812779872	0.0247169448692406
LDL_C	APOE	APOE	ENSG00000130203	tx	brain (DLPFC)	QTD000436	ENST00000434152	560	ok	1947	1947	0	1.96514077271855e-05	0	0.999979530731567	8.17860958317476e-07
LDL_C	APOE	APOE	ENSG00000130203	txrev	thyroid	QTD000344	ENSG00000130203.grp_2.upstream.ENST00000434152	574	ok	2103	2103	0	0.00234429001264117	0	0.997566078115781	8.9631871471458e-05
LDL_C	CETP	CETP	ENSG00000087237	exon	thyroid	QTD000342	ENSG00000087237.12_16_56962107_56962296	574	ok	1964	1964	1.76072894075584e-23	9.74336254147352e-06	1.76117173407903e-18	0.974530363324517	0.0254598933129441
LDL_C	CETP	CETP	ENSG00000087237	ge	lung	QTD000271	ENSG00000087237	510	ok	1977	1977	6.7719316136012e-22	0.000374739394438687	2.47146863768413e-20	0.0117005536199844	0.987924706985575
LDL_C	CETP	CETP	ENSG00000087237	leafcutter	thyroid	QTD000345	16:56972083:56975101:clu_26021_+	574	ok	2024	2024	1.20958917916588e-19	0.0669490217958027	1.68327833975462e-18	0.931667590381048	0.0013833878231485
LDL_C	CETP	CETP	ENSG00000087237	microarray	monocyte	QTD000081	ILMN_1681882	420	ok	1970	1970	1.22854031538606e-18	0.67586768967124	2.08973013407118e-19	0.114544987299839	0.209587323028918
LDL_C	CETP	CETP	ENSG00000087237	tx	thyroid	QTD000343	ENST00000379780	574	ok	1964	1964	1.49901789271347e-18	0.829512961750557	2.51206259826879e-19	0.138947167977095	0.0315398702723497
LDL_C	CETP	CETP	ENSG00000087237	txrev	thyroid	QTD000344	ENSG00000087237.grp_1.contained.ENST00000379780	574	ok	1964	1964	1.45705760151394e-18	0.806293355368257	2.55877769345532e-19	0.141490893896363	0.0522157507353802
LDL_C	HMGCR	HMGCR	ENSG00000113161	exon	skin	QTD000317	ENSG00000113161.17_5_75355215_75355364	602	ok	1667	1667	2.80253017040436e-263	2.19213598482846e-18	2.69405393897779e-248	0.000107500999154725	0.999892499000852
LDL_C	HMGCR	HMGCR	ENSG00000113161	ge	muscle	QTD000085	ENSG00000113161	288	ok	1400	1400	1.51977501549476e-243	0.00261898614575147	2.96540842397061e-242	0.0492057105517343	0.94817530330256
LDL_C	HMGCR	HMGCR	ENSG00000113161	leafcutter	esophagus (mucosa)	QTD000245	5:75354697:75355365:clu_37758_+	493	ok	1689	1689	6.51430626356157e-246	0.000255069306360175	1.70184148506345e-243	0.0647660752860066	0.934978855407613
LDL_C	HMGCR	HMGCR	ENSG00000113161	tx	skin	QTD000318	ENST00000508070	602	ok	1632	1632	2.53487583551881e-251	4.38889319562208e-11	5.55375969792917e-241	0.961502970008479	0.0384970299476116
LDL_C	HMGCR	HMGCR	ENSG00000113161	txrev	skin	QTD000319	ENSG00000113161.grp_2.contained.ENST00000508070	602	ok	1632	1632	2.7966412062048e-254	4.84211470578655e-14	5.35756884168326e-241	0.92746634089597	0.0725336591039353
LDL_C	LDLR	LDLR	ENSG00000130164	ge	CD4+ T cell	QTD000031	ENSG00000130164	167	ok	1351	1351	0	0.852418344764801	0	0.11491354589522	0.032668109339988
LDL_C	LDLR	LDLR	ENSG00000130164	leafcutter	iPSC	QTD000365	19:11116212:11120092:clu_14509_-	322	ok	1301	1301	0	0.000563388400906661	0	0.999297081168508	0.000139530430616033
LDL_C	LDLR	LDLR	ENSG00000130164	tx	skin	QTD000318	ENST00000559340	602	ok	1293	1293	0	0.876500556574765	0	0.0961232295184753	0.0273762139067618
LDL_C	LDLR	LDLR	ENSG00000130164	txrev	skin	QTD000319	ENSG00000130164.grp_2.contained.ENST00000560173	602	ok	1293	1293	0	0.888392611049213	0	0.0884664291301166	0.023140959820737
LDL_C	LPL	LPL	ENSG00000175445	exon	blood	QTD000357	ENSG00000175445.17_8_19948304_19948340	670	ok	2062	2062	0.497336584950808	0.125546695451329	0.29503201783482	0.0744620725426676	0.00762262922037528
LDL_C	LPL	LPL	ENSG00000175445	ge	blood	QTD000356	ENSG00000175445	670	ok	1824	1824	0.1239473844833	0.0212188745071606	0.727276093647778	0.124498163454129	0.00305948390763201
LDL_C	LPL	LPL	ENSG00000175445	leafcutter	brain (caudate)	QTD000160	8:19962219:19965310:clu_11475_+	194	ok	1994	1994	9.65901373726411e-07	0.000206334199252689	0.00398347806494051	0.850653458850075	0.145155762984359
LDL_C	LPL	LPL	ENSG00000175445	microarray	monocyte	QTD000081	ILMN_1786444	420	ok	1761	1761	0.0322505119341919	0.00511706707798587	0.828241351208025	0.131407964816695	0.00298310496310265
LDL_C	LPL	LPL	ENSG00000175445	tx	esophagus (mucosa)	QTD000243	ENST00000650287	493	ok	1838	1838	0.739492738123282	0.127316247342285	0.109304773111217	0.0188085195908425	0.005077721832374
LDL_C	LPL	LPL	ENSG00000175445	txrev	adipose	QTD000119	ENSG00000175445.grp_2.contained.ENST00000524029	581	ok	1839	1839	0.735017876657744	0.126965177772408	0.113443987725468	0.019586061250572	0.00498689659380836
LDL_C	NPC1L1	NPC1L1	ENSG00000015520	exon	adipose	QTD000117	ENSG00000015520.15_7_44512538_44513649	581	ok	1344	1344	2.48042226013798e-05	0.71122974431783	9.27251161441695e-06	0.265831746367675	0.0229044325802799
LDL_C	NPC1L1	NPC1L1	ENSG00000015520	ge	muscle	QTD000281	ENSG00000015520	702	ok	1411	1411	1.06458599942195e-52	0.862077552173642	1.42912034907609e-53	0.115682438517038	0.0222400093093153
LDL_C	PCSK9	PCSK9	ENSG00000169174	exon	tibial nerve	QTD000287	ENSG00000169174.11_1_55059486_55059663	532	ok	2495	2495	0	1.72186632502713e-28	0	1	1.42670934810748e-29
